Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
98,Marv Roberts\roberma01,SF,25,KEN,83,1370,9.8,.491,.002,.351,6.8,11.1,8.9,9.8,0.9,0.2,15.6,18.4,,0.5,1.9,2.4,.084,,-2.7,-0.2,-2.9,-0.3
99,Ronnie Robinson\robinro01,PF,23,MMS,10,102,12.7,.492,.000,.158,9.6,17.6,13.5,5.6,2.4,0.0,14.7,19.5,,0.0,0.1,0.1,.046,,-3.2,-0.4,-3.6,0.0
100,Dave Robisch\robisda01,C,25,DNA,84,1899,19.4,.584,.001,.444,9.6,18.3,14.1,10.5,1.1,1.3,10.4,20.8,,6.1,2.4,8.5,.214,,2.9,-0.2,2.6,2.2
101,John Roche\rochejo01,PG-SG,25,TOT,58,1387,13.1,.522,.086,.208,1.6,5.2,3.5,20.6,1.7,0.3,15.9,19.6,,1.2,1.1,2.3,.081,,-0.4,0.0,-0.4,0.5
101,John Roche\rochejo01,SG,25,KEN,19,258,6.5,.426,.089,.228,1.6,1.9,1.7,16.4,1.5,0.2,17.2,16.0,,-0.2,0.3,0.1,.026,,-3.6,-0.1,-3.7,-0.1
101,John Roche\rochejo01,PG,25,UTS,39,1129,14.6,.540,.086,.205,1.6,6.0,3.9,21.6,1.8,0.3,15.7,20.4,,1.4,0.8,2.2,.094,,0.3,0.0,0.3,0.7
102,Reggie Royals\royalre01,C,24,SDA,2,11,6.5,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,0.0,0.0,0.0,.016,,-4.3,-0.2,-4.6,0.0
103,Billy Schaeffer\schaebi01,SF,23,NYA,27,280,12.6,.489,.053,.191,5.5,7.8,6.7,9.7,1.5,0.4,11.3,22.9,,0.1,0.4,0.5,.080,,-2.1,-0.7,-2.7,0.0
104,Bruce Seals\sealsbr01,SF,21,UTS,35,371,12.3,.456,.021,.183,12.7,14.6,13.7,5.2,2.0,2.4,13.5,19.9,,0.0,0.5,0.6,.071,,-3.0,0.6,-2.4,0.0
105,Billy Shepherd\shephbi01,PG,25,MMS,69,1315,13.8,.520,.370,.187,1.0,5.2,3.1,28.0,2.4,0.4,17.9,16.1,,1.2,0.6,1.7,.064,,0.6,-0.5,0.1,0.7
106,James Silas\silasja01,PG,25,SAA,82,3105,17.2,.587,.002,.428,2.4,7.5,5.0,17.2,1.7,0.3,14.6,19.9,,7.8,2.0,9.8,.152,,1.8,-0.1,1.7,2.9
107,Ralph Simpson\simpsra01,SG,25,DNA,82,2863,17.3,.545,.009,.293,4.2,10.0,7.3,21.2,2.6,0.4,16.8,24.7,,3.8,3.4,7.2,.120,,1.4,0.0,1.4,2.4
