Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tom Henderson,hendeto01,WSB,PG,27,70,,29.7,4.3,9.2,0.466,,,,4.3,9.2,0.466,0.466,2.2,2.8,0.8,0.7,1.6,2.3,6.0,1.2,0.1,2.1,1.8,10.8
Tom LaGarde,lagarto01,SEA,C,23,23,,25.0,4.3,7.9,0.541,,,,4.3,7.9,0.541,0.541,2.5,4.1,0.6,2.7,5.6,8.3,1.4,0.3,0.8,2.0,3.3,11.0
Tom McMillen,mcmilto01,ATL,C,26,82,,17.0,2.8,6.1,0.466,,,,2.8,6.1,0.466,0.466,1.3,1.5,0.891,1.6,2.5,4.0,0.8,0.2,0.4,1.1,2.6,7.0
Tom Owens,owensto01,POR,C,29,82,,34.0,7.3,13.4,0.548,,,,7.3,13.4,0.548,0.548,3.9,4.9,0.794,3.2,5.8,9.0,3.7,0.7,0.7,3.0,4.0,18.5
Tommie Green,greento01,NOJ,PG,22,59,,13.7,1.6,4.0,0.388,,,,1.6,4.0,0.388,0.388,0.8,1.1,0.762,0.3,0.8,1.2,2.4,1.0,0.1,1.5,1.9,3.9
Tony Robertson,roberto01,GSW,SG,23,12,,6.2,1.3,3.3,0.375,,,,1.3,3.3,0.375,0.375,0.5,0.8,0.667,0.5,0.3,0.8,0.3,0.7,0.0,0.7,0.8,3.0
Tree Rollins,rollitr01,ATL,C,23,81,,23.5,3.7,6.9,0.535,,,,3.7,6.9,0.535,0.535,1.1,1.7,0.631,2.7,4.6,7.3,0.6,0.6,3.1,1.1,4.0,8.4
Truck Robinson,robintr01,"NOJ,PHO",PF,27,69,,36.8,8.2,16.7,0.491,,,,8.2,16.7,0.491,0.491,4.7,6.7,0.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1
Wally Walker,walkewa01,SEA,SF,24,60,,16.2,2.8,5.7,0.49,,,,2.8,5.7,0.49,0.49,1.0,1.6,0.604,1.1,1.9,3.0,1.2,0.2,0.4,1.1,2.1,6.6
Walt Frazier,fraziwa01,CLE,PG,33,12,,23.3,4.5,10.2,0.443,,,,4.5,10.2,0.443,0.443,1.8,2.3,0.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8
Walter Davis,daviswa03,PHO,SF,24,79,,30.8,9.7,17.2,0.561,,,,9.7,17.2,0.561,0.561,4.3,5.2,0.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6
Wayne Cooper,coopewa01,GSW,C,22,65,,12.2,2.0,4.5,0.437,,,,2.0,4.5,0.437,0.437,0.6,0.9,0.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6
Wayne Radford,radfowa01,IND,SG,22,52,,12.5,1.6,3.4,0.474,,,,1.6,3.4,0.474,0.474,0.7,0.9,0.8,0.5,0.8,1.3,1.1,0.6,0.0,0.9,1.2,3.9
Wes Unseld,unselwe01,WSB,C,32,77,,31.2,4.5,7.8,0.577,,,,4.5,7.8,0.577,0.577,2.0,3.1,0.643,3.6,7.2,10.8,4.1,0.9,0.5,2.0,2.6,10.9
Wesley Cox,coxwe01,GSW,SF,24,31,,11.6,1.7,4.0,0.431,,,,1.7,4.0,0.431,0.431,1.3,3.0,0.435,0.6,1.5,2.0,0.4,0.4,0.2,1.4,2.2,4.7
Wilbur Holland,hollawi01,CHI,SG,27,82,,30.3,5.4,11.5,0.473,,,,5.4,11.5,0.473,0.473,1.7,2.1,0.801,1.0,2.1,3.1,4.0,1.5,0.1,2.3,2.9,12.6
Willie Smith,smithwi02,POR,PG,25,13,,10.1,1.8,3.4,0.523,,,,1.8,3.4,0.523,0.523,0.9,1.3,0.706,0.5,0.5,1.0,1.3,0.8,0.1,1.1,1.5,4.5
Wilson Washington,washiwi01,NJN,PF,23,62,,18.4,3.5,7.0,0.502,,,,3.5,7.0,0.502,0.502,1.1,1.7,0.635,1.4,3.3,4.7,0.8,0.5,1.1,1.6,3.0,8.1
Winford Boynes,boynewi01,NJN,SG,21,69,,17.0,3.7,8.6,0.43,,,,3.7,8.6,0.43,0.43,1.9,2.4,0.787,0.9,1.4,2.2,1.1,0.6,0.1,1.7,1.7,9.3
World B. Free,freewo01,SDC,PG,25,78,,37.9,10.2,21.2,0.481,,,,10.2,21.2,0.481,0.481,8.4,11.1,0.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8
